DATE,MONTH,TYPE,TOTAL (IN TONS)
06/30/2014,June,Misc. Recycling,3
06/30/2014,June,Bottle Bill,317
06/30/2014,June,Scrap Metal,336
06/30/2014,June,Recycled Tires,22
06/30/2014,June,Yard Waste,0
06/30/2014,June,Asphalt Debris,5000
06/30/2014,June,Sidewalk Debris,417
06/30/2014,June,Haz Waste,11
06/30/2014,June,E-Waste,70
06/30/2014,June,Curb Garbage,11770
06/30/2014,June,Misc. Garbage,226
07/31/2014,July,Curb Recycling,1306
07/31/2014,July,Misc. Recycling,5
07/31/2014,July,Bottle Bill,317
07/31/2014,July,Scrap Metal,336
07/31/2014,July,Recycled Tires,21
07/31/2014,July,Yard Waste,0
07/31/2014,July,Asphalt Debris,5000
07/31/2014,July,Sidewalk Debris,417
07/31/2014,July,Haz Waste,0
07/31/2014,July,E-Waste,44
07/31/2014,July,Curb Garbage,10818
07/31/2014,July,Misc. Garbage,243
08/31/2014,August,Curb Recycling,1178
08/31/2014,August,Misc. Recycling,5
08/31/2014,August,Bottle Bill,317
08/31/2014,August,Scrap Metal,336
08/31/2014,August,Recycled Tires,23
08/31/2014,August,Yard Waste,0
08/31/2014,August,Asphalt Debris,5000
08/31/2014,August,Sidewalk Debris,417
08/31/2014,August,Haz Waste,0
08/31/2014,August,E-Waste,48
08/31/2014,August,Curb Garbage,10623
08/31/2014,August,Misc. Garbage,340
09/30/2014,September,Curb Recycling,1226
09/30/2014,September,Misc. Recycling,2
09/30/2014,September,Bottle Bill,317
09/30/2014,September,Scrap Metal,336
09/30/2014,September,Recycled Tires,20
09/30/2014,September,Yard Waste,828
09/30/2014,September,Asphalt Debris,5000
09/30/2014,September,Sidewalk Debris,417
09/30/2014,September,Haz Waste,0
09/30/2014,September,E-Waste,40
09/30/2014,September,Curb Garbage,10628
09/30/2014,September,Misc. Garbage,167
10/31/2014,October,Curb Recycling,1324
10/31/2014,October,Misc. Recycling,4
10/31/2014,October,Bottle Bill,317
10/31/2014,October,Scrap Metal,336
10/31/2014,October,Recycled Tires,20
10/31/2014,October,Yard Waste,64
10/31/2014,October,Asphalt Debris,5000
10/31/2014,October,Sidewalk Debris,417
10/31/2014,October,Haz Waste,26
10/31/2014,October,E-Waste,41
10/31/2014,October,Curb Garbage,9776
10/31/2014,October,Misc. Garbage,163
11/30/2014,November,Curb Recycling,1058
11/30/2014,November,Misc. Recycling,4
11/30/2014,November,Bottle Bill,317
11/30/2014,November,Scrap Metal,336
11/30/2014,November,Recycled Tires,11
11/30/2014,November,Yard Waste,287
11/30/2014,November,Asphalt Debris,5000
11/30/2014,November,Sidewalk Debris,417
11/30/2014,November,Haz Waste,0
11/30/2014,November,E-Waste,9
11/30/2014,November,Curb Garbage,6530
11/30/2014,November,Misc. Garbage,80
12/31/2014,December,Curb Recycling,1505
12/31/2014,December,Misc. Recycling,4872
12/31/2014,December,Bottle Bill,317
12/31/2014,December,Scrap Metal,444
12/31/2014,December,Recycled Tires,10
12/31/2014,December,Yard Waste,4544
12/31/2014,December,Asphalt Debris,5000
12/31/2014,December,Sidewalk Debris,417
12/31/2014,December,Haz Waste,0
12/31/2014,December,E-Waste,49
12/31/2014,December,Curb Garbage,8511
12/31/2014,December,Misc. Garbage,66
01/31/2015,January,Curb Recycling,1141
01/31/2015,January,Misc. Recycling,2
01/31/2015,January,Bottle Bill,317
01/31/2015,January,Scrap Metal,338
01/31/2015,January,Recycled Tires,8
01/31/2015,January,Yard Waste,0
01/31/2015,January,Asphalt Debris,0
01/31/2015,January,Sidewalk Debris,0
01/31/2015,January,Haz Waste,0
01/31/2015,January,E-Waste,17
01/31/2015,January,Curb Garbage,5726
01/31/2015,January,Misc. Garbage,1938
02/28/2015,February,Curb Recycling,816
02/28/2015,February,Misc. Recycling,3
02/28/2015,February,Bottle Bill,317
02/28/2015,February,Scrap Metal,336
02/28/2015,February,Recycled Tires,3
02/28/2015,February,Yard Waste,0
02/28/2015,February,Asphalt Debris,0
02/28/2015,February,Sidewalk Debris,0
02/28/2015,February,Haz Waste,0
02/28/2015,February,E-Waste,9
02/28/2015,February,Curb Garbage,4819
02/28/2015,February,Misc. Garbage,504
03/31/2015,March,Curb Recycling,1230
03/31/2015,March,Misc. Recycling,3
03/31/2015,March,Bottle Bill,317
03/31/2015,March,Scrap Metal,336
03/31/2015,March,Recycled Tires,12
03/31/2015,March,Yard Waste,0
03/31/2015,March,Asphalt Debris,0
03/31/2015,March,Sidewalk Debris,0
03/31/2015,March,Haz Waste,0
03/31/2015,March,E-Waste,20
03/31/2015,March,Curb Garbage,6399
03/31/2015,March,Misc. Garbage,1140
04/30/2015,April,Curb Recycling,1313
04/30/2015,April,Misc. Recycling,4
04/30/2015,April,Bottle Bill,317
04/30/2015,April,Scrap Metal,336
04/30/2015,April,Recycled Tires,33
04/30/2015,April,Yard Waste,0
04/30/2015,April,Asphalt Debris,0
04/30/2015,April,Sidewalk Debris,0
04/30/2015,April,Haz Waste,0
04/30/2015,April,E-Waste,50
04/30/2015,April,Curb Garbage,8236
04/30/2015,April,Misc. Garbage,4230
05/31/2015,May,Curb Recycling,1276
05/31/2015,May,Misc. Recycling,2
05/31/2015,May,Bottle Bill,317
05/31/2015,May,Scrap Metal,336
05/31/2015,May,Recycled Tires,47
05/31/2015,May,Yard Waste,0
05/31/2015,May,Asphalt Debris,0
05/31/2015,May,Sidewalk Debris,0
05/31/2015,May,Haz Waste,0
05/31/2015,May,E-Waste,49
05/31/2015,May,Curb Garbage,8522
05/31/2015,May,Misc. Garbage,4041
06/30/2015,June,Curb Recycling,1349
06/30/2015,June,Misc. Recycling,2
06/30/2015,June,Bottle Bill,317
06/30/2015,June,Scrap Metal,336
06/30/2015,June,Recycled Tires,32
06/30/2015,June,Yard Waste,0
06/30/2015,June,Asphalt Debris,0
06/30/2015,June,Sidewalk Debris,0
06/30/2015,June,Haz Waste,0
06/30/2015,June,E-Waste,47
06/30/2015,June,Curb Garbage,8908
